MB,Blocking I/O,Non-Blocking I/O,AIO-4,AIO-8,AIO-16,AIO-32
10,0.031789,0.038838,0.039447,0.026130,0.019394,0.021707
20,0.043065,0.049477,0.037930,0.029925,0.041690,0.139811
30,0.044493,0.047437,0.052196,0.047817,0.063292,0.074845
40,0.094059,0.083419,0.099354,0.105241,0.081823,0.087603
50,0.116808,0.134677,0.134235,0.115806,0.113989,0.121467
60,0.129642,0.163221,0.147187,0.139412,0.142337,0.148839
70,0.223732,0.172204,0.160657,0.190243,0.160128,0.169518
80,0.229217,0.339340,0.270948,0.303777,0.296946,0.318363
90,0.347934,0.408740,0.378424,0.363267,0.352227,0.347952
100,0.397618,0.423682,0.404658,0.407235,0.375632,0.446034
200,0.734049,0.850897,0.829827,0.816972,0.808442,0.793970
300,1.244436,1.243888,1.330114,1.184206,1.138157,1.015165
400,1.519244,1.606432,1.326595,1.653897,1.644032,1.597474
500,1.850242,2.377281,2.120603,2.049183,2.062165,2.147981
600,2.393930,2.415239,2.260091,2.323808,2.345727,2.377313
700,3.067922,2.972512,2.958284,2.662749,3.019464,3.179905
800,3.724454,3.517313,3.149371,3.048569,3.136397,3.162779
900,3.862213,3.855416,3.445769,3.419529,3.527515,3.481455
1000,4.277780,4.335058,4.037812,3.838451,3.925670,4.691895
