Size (MB), 3,4-4,4-8,4-16,4-32,5
10, 0.650576, 0.623615, 0.597760, 0.610738, 0.572586, 0.571821
20, 0.658612, 0.651650, 0.786703, 0.689273, 0.662525, 0.595743
30, 0.660754, 0.671897, 0.783452, 0.633881, 0.597880, 0.685839
40, 0.866945, 0.638289, 0.730856, 0.766117, 0.704787, 0.564498
50, 0.759777, 0.713811, 0.633554, 0.778206, 0.637710, 0.579468
60, 0.739282, 0.711744, 0.708866, 0.667530, 0.687934, 0.594043
70, 0.943476, 0.763690, 0.703067, 0.677960, 0.690967, 0.565555
80, 0.804894, 0.740405, 0.716596, 0.786579, 0.708828, 0.592024
90, 0.854862, 0.942632, 0.760965, 0.755758, 0.788191, 0.689525
100, 0.913790, 0.783464, 0.808302, 0.768867, 0.810354, 0.871098
200, 1.240036, 0.971749, 0.938464, 1.000021, 0.923869, 0.637640
300, 1.371523, 1.198587, 1.099857, 1.117473, 1.155644, 0.658093
400, 2.090028, 1.894621, 1.617163, 1.386190, 1.382255, 0.605118
500, 1.740295, 1.346682, 1.310329, 1.308540, 1.371229, 0.600741
600, 2.005140, 1.441745, 2.590808, 2.460391, 2.584252, 0.896136
700, 3.865271, 2.883608, 2.941341, 2.996501, 3.194946, 0.716405
800, 4.058233, 3.177264, 3.526706, 3.217245, 3.181957, 0.655571
900, 4.742516, 3.520354, 3.841858, 3.503440, 3.538330, 0.568510
1000,4.573621,4.078290,4.230902,4.079232,3.884241,0.621670
